City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Winds
namibe,namibe,-15.19,12.15,72.87,100,0,9.89
egvekinot,egvekinot,66.32,-179.17,-24.2,69,8,11.12
kirakira,kirakira,-10.46,161.92,81.64,100,68,4.52
hobart,hobart,-42.88,147.33,57.2,87,0,5.82
ca mau,ca mau,9.18,105.15,75.61,95,0,8.99
butaritari,butaritari,3.07,172.79,82.36,100,68,15.82
khatanga,khatanga,71.98,102.47,-36.08,70,32,5.41
praya,praya,-8.71,116.27,77.0,94,64,2.24
port alfred,port alfred,-33.59,26.89,68.64,89,24,7.31
busselton,busselton,-33.64,115.35,59.55,100,0,18.05
beyneu,beyneu,45.32,55.19,29.49,100,88,2.95
aitape,aitape,-3.15,142.36,80.65,92,56,10.78
muncie,muncie,40.19,-85.39,29.35,78,90,12.75
barrow,barrow,-38.31,-60.23,69.72,92,88,11.68
clarksburg,clarksburg,39.24,-77.28,30.16,86,90,3.36
rikitea,rikitea,-23.12,-134.97,79.62,99,76,11.56
terrassa,terrassa,41.57,2.01,48.31,70,0,2.24
nhulunbuy,nhulunbuy,-12.18,136.78,78.8,94,92,6.87
viedma,viedma,-40.81,-62.99,76.02,36,36,15.59
deputatskiy,deputatskiy,69.3,139.9,-29.15,45,48,3.18
saldanha,saldanha,41.42,-6.55,26.11,84,0,2.73
minot,minot,48.23,-101.3,26.62,71,1,6.93
norman wells,norman wells,65.28,-126.83,-20.21,68,75,9.17
chokurdakh,chokurdakh,70.62,147.9,-26.81,42,24,1.72
cape town,cape town,-33.93,18.42,62.6,77,40,6.93
punta arenas,punta arenas,-53.16,-70.91,52.0,81,75,21.92
onda,onda,39.96,-0.26,39.4,86,0,1.12
juneau,juneau,58.3,-134.42,34.99,95,90,3.4
russell,russell,-33.01,-68.8,75.2,57,40,11.41
vaini,vaini,15.34,74.49,58.78,79,0,2.62
dikson,dikson,73.51,80.55,1.72,99,80,30.24
victoria,victoria,5.28,115.24,81.5,88,75,3.36
mataura,mataura,-46.19,168.86,55.27,88,92,10.22
dingle,dingle,11.0,122.67,75.07,84,48,14.25
esperance,esperance,10.24,-61.45,86.0,51,40,9.17
urengoy,urengoy,65.96,78.37,5.32,75,80,18.95
wanning,wanning,48.64,13.53,39.2,93,75,18.34
demyanovo,demyanovo,60.35,47.08,22.06,82,88,10.0
hofn,hofn,64.25,-15.21,26.79,100,80,7.87
new norfolk,new norfolk,-42.78,147.06,57.2,87,0,5.82
hilo,hilo,19.71,-155.08,75.92,64,90,5.82
noumea,noumea,-22.28,166.46,77.0,73,0,3.36
abu dhabi,abu dhabi,24.47,54.37,68.0,77,0,2.62
jamestown,jamestown,-33.21,138.6,62.02,79,0,2.95
lompoc,lompoc,34.64,-120.46,57.6,77,75,14.99
pisco,pisco,-13.71,-76.2,71.6,30,0,12.75
gweta,gweta,-20.21,25.26,74.26,80,76,2.62
qaanaaq,qaanaaq,77.48,-69.36,-25.55,100,0,9.78
albany,albany,42.65,-73.75,20.66,44,20,9.17
juba,juba,57.82,26.93,30.2,92,80,6.93
castro,castro,-42.48,-73.76,66.2,55,0,8.05
vityazevo,vityazevo,44.99,37.26,32.0,100,12,6.71
nouadhibou,nouadhibou,20.93,-17.03,69.8,30,0,4.7
ushuaia,ushuaia,-54.81,-68.31,51.8,62,75,40.26
aklavik,aklavik,68.22,-135.01,-23.81,67,40,16.11
los llanos de aridane,los llanos de aridane,28.66,-17.92,69.8,15,0,4.7
talcahuano,talcahuano,-36.72,-73.12,75.2,50,0,6.93
macusani,macusani,-14.07,-70.43,53.97,100,92,2.62
puerto ayora,puerto ayora,-0.74,-90.35,82.4,69,75,16.11
copiapo,copiapo,-27.37,-70.33,71.6,53,0,13.87
east london,east london,-33.02,27.91,72.15,100,0,9.22
tiksi,tiksi,71.64,128.87,-38.11,0,0,2.17
serov,serov,59.61,60.57,24.76,81,68,6.64
georgetown,georgetown,6.8,-58.16,85.19,66,40,11.41
iisaku,iisaku,59.1,27.31,27.73,98,88,10.78
laguna,laguna,27.52,-110.01,78.8,24,5,6.93
labuhan,labuhan,-2.54,115.51,70.35,99,80,0.83
mehran,mehran,33.12,46.17,46.4,87,90,9.17
avarua,avarua,-21.21,-159.78,84.2,74,40,5.82
tasiilaq,tasiilaq,65.61,-37.64,19.4,85,80,2.24
sao joao da barra,sao joao da barra,-21.64,-41.05,84.2,54,0,16.11
panguna,panguna,-6.32,155.48,76.47,93,100,4.41
vao,vao,59.1,26.19,27.01,98,92,8.77
ribeira grande,ribeira grande,38.52,-28.7,60.8,72,75,16.11
clyde river,clyde river,70.47,-68.59,-36.41,65,20,3.36
souillac,souillac,45.6,-0.6,48.99,93,90,10.29
estevan,estevan,49.14,-102.99,25.05,79,1,10.29
vostok,vostok,46.45,135.83,-11.47,53,8,2.06
nara,nara,34.68,135.8,38.55,86,20,3.36
hithadhoo,hithadhoo,-0.6,73.08,82.36,100,92,6.76
sambava,sambava,-14.27,50.17,78.49,100,64,6.76
zhuhai,zhuhai,40.71,112.04,6.8,65,0,4.47
gat,gat,14.69,-16.54,75.2,53,12,10.29
zhuanghe,zhuanghe,39.7,122.97,22.24,100,0,3.96
jacareacanga,jacareacanga,-6.22,-57.76,80.83,77,68,2.62
tura,tura,25.52,90.21,48.79,77,0,2.17
saint george,saint george,39.45,22.34,30.9,72,0,5.82
kyzyl-suu,kyzyl-suu,42.34,78.0,6.67,100,0,3.18
iracoubo,iracoubo,5.48,-53.21,78.31,80,92,4.18
hermanus,hermanus,-34.42,19.24,57.3,95,12,3.29
shimoda,shimoda,34.7,138.93,47.53,100,0,17.49
manakara,manakara,-22.14,48.01,78.09,97,88,8.88
ucluelet,ucluelet,48.94,-125.55,48.2,93,20,6.93
kahului,kahului,20.89,-156.47,76.15,52,1,6.93
christchurch,christchurch,-43.53,172.64,51.8,93,92,18.34
kapaa,kapaa,22.08,-159.32,78.08,68,75,3.36
yellowknife,yellowknife,62.45,-114.38,-27.41,74,20,3.36
torbay,torbay,47.66,-52.73,26.6,68,40,25.28
hobyo,hobyo,5.35,48.53,74.98,85,80,15.26
state college,state college,40.79,-77.86,25.95,73,90,5.82
kodiak,kodiak,39.95,-94.76,30.69,96,40,8.05
byron bay,byron bay,-28.65,153.62,65.23,93,40,9.22
vila velha,vila velha,-3.71,-38.6,82.4,78,75,8.05
bathsheba,bathsheba,13.22,-59.52,82.4,58,20,17.22
lorengau,lorengau,-2.02,147.27,84.16,96,88,16.04
salalah,salalah,17.01,54.1,75.2,69,40,6.93
provideniya,provideniya,64.42,-173.23,-0.41,77,48,29.08
sabang,sabang,13.72,123.58,76.24,93,44,10.0
bluff,bluff,-23.58,149.07,72.15,69,0,10.56
yarovoye,yarovoye,52.92,78.56,1.72,70,0,10.89
upernavik,upernavik,72.79,-56.15,-11.42,100,44,7.43
solnechnyy,solnechnyy,50.72,136.64,-20.56,59,20,2.39
otradnoye,otradnoye,59.77,30.8,26.6,92,75,6.71
kijang,kijang,35.24,129.21,32.0,76,0,6.93
puerto ayacucho,puerto ayacucho,5.66,-67.63,93.2,44,40,6.93
turukhansk,turukhansk,65.8,87.96,-11.11,74,48,17.05
mahebourg,mahebourg,-20.41,57.7,80.6,74,75,11.41
cagdianao,cagdianao,9.92,125.67,76.69,100,100,14.14
cockburn town,cockburn town,21.46,-71.14,79.17,98,8,16.26
padang,padang,-0.92,100.36,77.77,100,56,6.87
kenora,kenora,49.76,-94.48,23.79,85,90,12.75
agadez,agadez,16.97,7.99,59.86,31,0,8.43
comodoro rivadavia,comodoro rivadavia,-45.87,-67.48,73.4,28,0,17.22
hatfield,hatfield,51.76,-0.23,50.92,66,40,21.92
sobolevo,sobolevo,54.43,31.9,29.67,95,92,14.92
hasaki,hasaki,35.73,140.83,30.11,100,20,8.05
ahipara,ahipara,-35.17,173.16,68.55,88,88,18.84
aswan,aswan,24.09,32.9,51.94,62,80,5.97
mnogovershinnyy,mnogovershinnyy,53.94,139.92,-17.54,50,0,2.17
guerrero negro,guerrero negro,27.97,-114.04,64.72,77,44,3.29
atuona,atuona,-9.8,-139.03,81.1,100,24,17.05
luderitz,luderitz,-26.65,15.16,63.28,89,20,12.91
ponta do sol,ponta do sol,-20.63,-46.0,81.64,70,20,2.62
nola,nola,3.52,16.05,69.4,96,12,1.95
kargasok,kargasok,59.06,80.87,15.31,76,76,9.22
tezu,tezu,27.93,96.16,48.75,52,0,1.95
ambulu,ambulu,-8.35,113.61,76.15,100,92,3.29
fare,fare,-16.7,-151.02,82.72,100,88,15.48
bredasdorp,bredasdorp,-34.53,20.04,66.2,72,32,8.05
pochutla,pochutla,15.74,-96.47,86.74,55,20,3.96
lyantonde,lyantonde,-0.41,31.15,64.14,92,24,3.4
port hardy,port hardy,50.7,-127.42,46.4,93,75,4.18
mildura,mildura,-34.18,142.16,68.0,49,0,5.82
lerwick,lerwick,60.15,-1.15,34.7,55,40,19.46
longyearbyen,longyearbyen,78.22,15.63,14.0,66,20,17.22
saint-joseph,saint-joseph,43.56,6.97,48.04,93,0,4.7
carutapera,carutapera,-1.2,-46.02,80.56,85,88,7.2
puerto leguizamo,puerto leguizamo,-0.19,-74.78,85.42,69,12,2.62
fort nelson,fort nelson,58.81,-122.69,-7.61,76,90,3.4
chuy,chuy,-33.69,-53.46,71.29,100,92,13.24
tuatapere,tuatapere,-46.13,167.69,53.07,100,88,8.77
anadyr,anadyr,64.73,177.51,-22.01,67,20,8.95
kalmunai,kalmunai,7.42,81.82,72.87,100,100,4.85
poum,poum,41.28,20.71,17.6,85,40,4.7
nome,nome,30.04,-94.42,55.49,45,1,11.41
sitka,sitka,37.17,-99.65,35.47,88,32,4.63
bethel,bethel,60.79,-161.76,15.94,91,90,17.22
hervey bay,hervey bay,-25.3,152.85,69.8,88,40,8.05
tutoia,tutoia,-2.76,-42.27,75.2,78,75,7.54
neringa,neringa,55.69,21.18,37.4,100,90,9.17
lebu,lebu,8.96,38.73,57.2,26,0,6.93
faanui,faanui,-16.48,-151.75,82.45,100,80,15.48
bosaso,bosaso,11.28,49.18,75.07,100,0,7.2
bandar-e lengeh,bandar-e lengeh,26.56,54.88,70.44,100,88,10.22
mar del plata,mar del plata,-46.43,-67.52,79.62,24,0,5.97
hatta,hatta,24.13,79.6,54.37,75,0,5.19
zyryanka,zyryanka,65.73,150.89,-21.59,64,68,5.86
tommot,tommot,58.97,126.27,-11.78,72,64,2.73
acapulco,acapulco,16.86,-99.88,84.2,70,40,6.93
seoul,seoul,37.57,126.98,20.91,79,40,3.36
huarmey,huarmey,-10.07,-78.15,76.74,61,24,5.41
pali,pali,25.77,73.33,54.01,62,0,8.77
college,college,64.86,-147.8,-11.37,75,1,2.95
nianzishan,nianzishan,47.51,122.88,-5.71,56,0,3.4
buraydah,buraydah,26.33,43.97,66.2,59,75,5.82
shimorskoye,shimorskoye,55.33,42.04,19.72,87,80,10.45
kruisfontein,kruisfontein,-34.0,24.73,67.06,89,92,10.22
tuktoyaktuk,tuktoyaktuk,69.44,-133.03,-25.61,67,40,17.22
smithers,smithers,54.78,-127.17,33.8,100,90,2.51
port elizabeth,port elizabeth,39.31,-74.98,30.67,84,90,14.99
chapais,chapais,49.78,-74.86,-0.41,77,90,5.82
atbasar,atbasar,51.81,68.36,18.01,84,56,15.37
yerbogachen,yerbogachen,61.28,108.01,-23.44,68,24,7.99
nikolayevsk-na-amure,nikolayevsk-na-amure,53.14,140.72,-8.81,66,8,4.18
cherskiy,cherskiy,68.75,161.3,-29.24,48,20,2.62
gorontalo,gorontalo,0.54,123.06,72.01,97,20,2.17
mudon,mudon,16.26,97.73,73.5,95,24,2.62
pampierstad,pampierstad,-27.78,24.69,73.32,22,0,9.78
dunkwa,dunkwa,5.97,-1.78,81.73,64,36,7.65
oksfjord,oksfjord,70.24,22.35,22.33,100,40,2.62
